iteration,best_cost,best_x,best_y
0,5025,-3.1205349478252344,-1.9230968217211009
1,5025,-3.1205349478252344,-1.9230968217211009
2,5025,-3.1205349478252344,-1.9230968217211009
3,5025,-3.1205349478252344,-1.9230968217211009
4,5025,-3.1205349478252344,-1.9230968217211009
5,5025,-3.1205349478252344,-1.9230968217211009
6,5025,-3.1205349478252344,-1.9230968217211009
7,4560,2.6002878414206494,0.7370644127426271
8,4560,2.6002878414206494,0.7370644127426271
9,4560,2.6002878414206494,0.7370644127426271
10,4560,2.6002878414206494,0.7370644127426271
11,4560,2.6002878414206494,0.7370644127426271
12,4560,2.6002878414206494,0.7370644127426271
13,4560,2.6002878414206494,0.7370644127426271
14,4560,2.6002878414206494,0.7370644127426271
15,4455,2.7842614090473954,0.5326227927306547
16,4455,2.7842614090473954,0.5326227927306547
17,4455,2.7842614090473954,0.5326227927306547
18,4455,2.7842614090473954,0.5326227927306547
19,4455,2.7842614090473954,0.5326227927306547
20,4455,2.7842614090473954,0.5326227927306547
21,4455,2.7842614090473954,0.5326227927306547
22,4455,2.7842614090473954,0.5326227927306547
23,4455,2.7842614090473954,0.5326227927306547
24,4455,2.7842614090473954,0.5326227927306547
25,4455,2.7842614090473954,0.5326227927306547
26,4455,2.7842614090473954,0.5326227927306547
27,4455,2.7842614090473954,0.5326227927306547
28,4455,2.7842614090473954,0.5326227927306547
29,4455,2.7842614090473954,0.5326227927306547
30,4455,2.7842614090473954,0.5326227927306547
31,4455,2.7842614090473954,0.5326227927306547
32,4455,2.7842614090473954,0.5326227927306547
33,4455,2.7842614090473954,0.5326227927306547
34,4455,2.7842614090473954,0.5326227927306547
35,4455,2.7842614090473954,0.5326227927306547
36,4455,2.7842614090473954,0.5326227927306547
37,4455,2.7842614090473954,0.5326227927306547
38,4455,2.7842614090473954,0.5326227927306547
39,4455,2.7842614090473954,0.5326227927306547
40,4455,2.7842614090473954,0.5326227927306547
41,4455,2.7842614090473954,0.5326227927306547
42,4455,2.7842614090473954,0.5326227927306547
43,4455,2.7842614090473954,0.5326227927306547
44,4455,2.7842614090473954,0.5326227927306547
45,4455,2.7842614090473954,0.5326227927306547
46,4455,2.7842614090473954,0.5326227927306547
47,4455,2.7842614090473954,0.5326227927306547
48,4455,2.7842614090473954,0.5326227927306547
49,4455,2.7842614090473954,0.5326227927306547
