iteration,best_cost,best_fitness,replacements,path_length
0,9005,0.00011103831932399871,100,20
1,8815,0.0001134314136957089,138,20
2,8815,0.0001134314136957089,173,20
3,8173,0.00012234062075630972,199,20
4,8173,0.00012234062075630972,217,20
5,8173,0.00012234062075630972,242,20
6,8173,0.00012234062075630972,260,20
7,8173,0.00012234062075630972,271,20
8,8173,0.00012234062075630972,285,20
9,8173,0.00012234062075630972,294,20
10,8173,0.00012234062075630972,304,20
11,8173,0.00012234062075630972,310,20
12,8173,0.00012234062075630972,317,20
13,8173,0.00012234062075630972,324,20
14,8173,0.00012234062075630972,333,20
15,8173,0.00012234062075630972,336,20
16,8173,0.00012234062075630972,339,20
17,8173,0.00012234062075630972,346,20
18,8173,0.00012234062075630972,352,20
19,8173,0.00012234062075630972,357,20
20,8173,0.00012234062075630972,362,20
21,8173,0.00012234062075630972,368,20
22,8173,0.00012234062075630972,369,20
23,8173,0.00012234062075630972,373,20
24,8173,0.00012234062075630972,379,20
25,8173,0.00012234062075630972,384,20
26,8173,0.00012234062075630972,390,20
27,8173,0.00012234062075630972,393,20
28,8173,0.00012234062075630972,396,20
29,8173,0.00012234062075630972,401,20
30,8173,0.00012234062075630972,404,20
31,8173,0.00012234062075630972,405,20
32,8173,0.00012234062075630972,410,20
33,8173,0.00012234062075630972,412,20
34,8173,0.00012234062075630972,413,20
35,8173,0.00012234062075630972,416,20
36,8173,0.00012234062075630972,419,20
37,8173,0.00012234062075630972,426,20
38,8173,0.00012234062075630972,428,20
39,8173,0.00012234062075630972,430,20
40,8117,0.00012318456743739146,432,20
41,8117,0.00012318456743739146,432,20
42,8117,0.00012318456743739146,433,20
43,8117,0.00012318456743739146,434,20
44,8117,0.00012318456743739146,437,20
45,8117,0.00012318456743739146,438,20
46,8117,0.00012318456743739146,438,20
47,8117,0.00012318456743739146,441,20
48,8117,0.00012318456743739146,443,20
49,8117,0.00012318456743739146,444,20
50,8117,0.00012318456743739146,446,20
51,8117,0.00012318456743739146,446,20
52,8117,0.00012318456743739146,447,20
53,8117,0.00012318456743739146,448,20
54,8117,0.00012318456743739146,448,20
55,8117,0.00012318456743739146,448,20
56,8117,0.00012318456743739146,449,20
57,8117,0.00012318456743739146,454,20
58,8117,0.00012318456743739146,455,20
59,8117,0.00012318456743739146,457,20
60,8117,0.00012318456743739146,457,20
61,8117,0.00012318456743739146,458,20
62,8117,0.00012318456743739146,462,20
63,8117,0.00012318456743739146,464,20
64,8117,0.00012318456743739146,467,20
65,8117,0.00012318456743739146,468,20
66,8117,0.00012318456743739146,468,20
67,8117,0.00012318456743739146,468,20
68,8117,0.00012318456743739146,471,20
69,8117,0.00012318456743739146,472,20
70,8117,0.00012318456743739146,472,20
71,8117,0.00012318456743739146,474,20
72,8117,0.00012318456743739146,476,20
73,8117,0.00012318456743739146,478,20
74,8117,0.00012318456743739146,483,20
75,8117,0.00012318456743739146,483,20
76,8117,0.00012318456743739146,483,20
77,8117,0.00012318456743739146,486,20
78,8117,0.00012318456743739146,487,20
79,8117,0.00012318456743739146,489,20
80,8117,0.00012318456743739146,490,20
81,8117,0.00012318456743739146,492,20
82,8117,0.00012318456743739146,492,20
83,8117,0.00012318456743739146,493,20
84,8117,0.00012318456743739146,493,20
85,8117,0.00012318456743739146,494,20
86,8117,0.00012318456743739146,494,20
87,8117,0.00012318456743739146,495,20
88,8117,0.00012318456743739146,497,20
89,8117,0.00012318456743739146,498,20
90,8117,0.00012318456743739146,499,20
91,8117,0.00012318456743739146,500,20
92,8117,0.00012318456743739146,501,20
93,8117,0.00012318456743739146,501,20
94,8117,0.00012318456743739146,501,20
95,8117,0.00012318456743739146,504,20
96,8117,0.00012318456743739146,506,20
97,8117,0.00012318456743739146,507,20
98,8117,0.00012318456743739146,509,20
99,8117,0.00012318456743739146,510,20
100,8117,0.00012318456743739146,510,20
101,8049,0.00012422514565398328,511,20
102,8049,0.00012422514565398328,511,20
103,8049,0.00012422514565398328,512,20
104,8049,0.00012422514565398328,513,20
105,8049,0.00012422514565398328,515,20
106,8049,0.00012422514565398328,516,20
107,8049,0.00012422514565398328,517,20
108,8049,0.00012422514565398328,517,20
109,8049,0.00012422514565398328,517,20
110,8049,0.00012422514565398328,518,20
111,8049,0.00012422514565398328,520,20
112,8049,0.00012422514565398328,521,20
113,8049,0.00012422514565398328,523,20
114,8049,0.00012422514565398328,524,20
115,8049,0.00012422514565398328,524,20
116,8049,0.00012422514565398328,524,20
117,8049,0.00012422514565398328,525,20
118,8049,0.00012422514565398328,525,20
119,8049,0.00012422514565398328,525,20
120,8049,0.00012422514565398328,525,20
121,8049,0.00012422514565398328,526,20
122,8049,0.00012422514565398328,528,20
123,8049,0.00012422514565398328,528,20
124,8049,0.00012422514565398328,529,20
125,8049,0.00012422514565398328,530,20
126,8049,0.00012422514565398328,531,20
127,8049,0.00012422514565398328,531,20
128,8049,0.00012422514565398328,532,20
129,8049,0.00012422514565398328,532,20
130,8049,0.00012422514565398328,532,20
