iteration,best_cost,current_best,path_length
0,8861.0,8861.0,20
1,8662.0,8662.0,20
2,8486.0,8486.0,20
3,8486.0,8963.0,20
4,8486.0,8888.0,20
5,8486.0,8681.0,20
6,8486.0,9373.0,20
7,8486.0,8923.0,20
8,8486.0,9350.0,20
9,8486.0,9255.0,20
10,8486.0,9400.0,20
11,8486.0,9618.0,20
12,8486.0,9618.0,20
13,8486.0,9618.0,20
14,8486.0,9618.0,20
15,8486.0,9618.0,20
16,8486.0,9618.0,20
17,8486.0,9618.0,20
18,8486.0,9912.0,20
19,8486.0,9912.0,20
20,8486.0,9912.0,20
21,8486.0,9912.0,20
22,8486.0,9912.0,20
23,8486.0,9912.0,20
24,8486.0,9912.0,20
25,8486.0,9912.0,20
26,8486.0,9912.0,20
27,8486.0,9912.0,20
28,8486.0,9912.0,20
29,8486.0,9912.0,20
30,8486.0,9912.0,20
31,8486.0,9912.0,20
32,8486.0,9912.0,20
33,8486.0,9912.0,20
34,8486.0,9912.0,20
35,8486.0,9912.0,20
36,8486.0,9912.0,20
37,8486.0,9912.0,20
38,8486.0,9912.0,20
39,8486.0,9912.0,20
40,8486.0,9912.0,20
41,8486.0,9912.0,20
42,8486.0,9912.0,20
43,8486.0,9912.0,20
44,8486.0,9912.0,20
45,8486.0,9912.0,20
46,8486.0,9912.0,20
47,8486.0,9912.0,20
48,8486.0,9912.0,20
49,8486.0,9912.0,20
50,8486.0,9912.0,20
51,8486.0,9912.0,20
52,8486.0,9912.0,20
53,8486.0,9912.0,20
54,8486.0,9912.0,20
55,8486.0,9912.0,20
56,8486.0,9912.0,20
57,8486.0,9912.0,20
58,8486.0,9912.0,20
59,8486.0,9912.0,20
60,8486.0,9912.0,20
61,8486.0,9912.0,20
62,8486.0,9912.0,20
63,8486.0,9912.0,20
64,8486.0,9912.0,20
65,8486.0,9912.0,20
66,8486.0,9912.0,20
67,8486.0,9912.0,20
68,8486.0,9912.0,20
69,8486.0,9912.0,20
70,8486.0,9912.0,20
71,8486.0,9912.0,20
72,8486.0,9912.0,20
73,8486.0,9912.0,20
74,8486.0,9912.0,20
75,8486.0,9912.0,20
76,8486.0,9912.0,20
77,8486.0,9912.0,20
78,8486.0,9912.0,20
79,8486.0,9912.0,20
80,8486.0,9912.0,20
81,8486.0,9912.0,20
82,8486.0,9912.0,20
83,8486.0,9912.0,20
84,8486.0,9912.0,20
85,8486.0,9912.0,20
86,8486.0,9912.0,20
87,8486.0,9912.0,20
88,8486.0,9912.0,20
89,8486.0,9912.0,20
90,8486.0,9912.0,20
91,8486.0,9912.0,20
92,8486.0,9912.0,20
93,8486.0,9912.0,20
94,8486.0,9912.0,20
95,8486.0,9912.0,20
96,8486.0,9912.0,20
97,8486.0,9912.0,20
98,8486.0,9912.0,20
99,8486.0,9912.0,20
100,8486.0,9912.0,20
101,8486.0,9912.0,20
102,8486.0,9912.0,20
103,8486.0,9912.0,20
104,8486.0,9912.0,20
105,8486.0,9912.0,20
106,8486.0,9912.0,20
107,8486.0,9912.0,20
108,8486.0,9912.0,20
109,8486.0,9912.0,20
110,8486.0,9912.0,20
111,8486.0,9912.0,20
112,8486.0,9912.0,20
113,8486.0,9912.0,20
114,8486.0,9912.0,20
115,8486.0,9912.0,20
116,8486.0,9912.0,20
117,8486.0,9912.0,20
118,8486.0,9912.0,20
119,8486.0,9912.0,20
120,8486.0,9912.0,20
121,8486.0,9912.0,20
122,8486.0,9912.0,20
123,8486.0,9912.0,20
124,8486.0,9912.0,20
125,8486.0,9912.0,20
126,8486.0,9912.0,20
127,8486.0,9912.0,20
128,8486.0,9912.0,20
129,8486.0,9912.0,20
130,8486.0,9912.0,20
131,8486.0,9912.0,20
132,8486.0,9912.0,20
133,8486.0,9912.0,20
134,8486.0,9912.0,20
135,8486.0,9912.0,20
136,8486.0,9912.0,20
137,8486.0,9912.0,20
138,8486.0,9912.0,20
139,8486.0,9912.0,20
140,8486.0,9912.0,20
141,8486.0,9912.0,20
142,8486.0,9912.0,20
143,8486.0,9912.0,20
144,8486.0,9912.0,20
145,8486.0,9912.0,20
146,8486.0,9912.0,20
147,8486.0,9912.0,20
148,8486.0,9912.0,20
149,8486.0,9912.0,20
150,8486.0,9912.0,20
151,8486.0,9912.0,20
152,8486.0,9912.0,20
153,8486.0,9912.0,20
154,8486.0,9912.0,20
