iteration,best_cost,best_x,best_y
0,18394,1.7281121774132036,-3.9745212972045083
1,18042,0.3640512033779655,1.9785110415455363
2,18042,0.3640512033779655,1.9785110415455363
3,17687,-3.705994820653237,-1.91059319154734
4,16509,-5.0,-3.4886903278098824
5,16509,-5.0,-3.4886903278098824
6,16509,-5.0,-3.4886903278098824
7,16509,-5.0,-3.4886903278098824
8,16509,-5.0,-3.4886903278098824
9,16509,-5.0,-3.4886903278098824
10,16509,-5.0,-3.4886903278098824
11,15558,-5.0,-3.4213161329137813
12,15558,-5.0,-3.4213161329137813
13,15558,-5.0,-3.4213161329137813
14,15558,-5.0,-3.4213161329137813
15,15112,-4.566040675604663,-2.2808570955492797
16,15112,-4.566040675604663,-2.2808570955492797
17,15112,-4.566040675604663,-2.2808570955492797
18,15112,-4.566040675604663,-2.2808570955492797
19,15112,-4.566040675604663,-2.2808570955492797
20,15112,-4.566040675604663,-2.2808570955492797
21,15112,-4.566040675604663,-2.2808570955492797
22,15112,-4.566040675604663,-2.2808570955492797
23,15112,-4.566040675604663,-2.2808570955492797
24,15112,-4.566040675604663,-2.2808570955492797
25,15112,-4.566040675604663,-2.2808570955492797
26,15112,-4.566040675604663,-2.2808570955492797
27,15112,-4.566040675604663,-2.2808570955492797
28,15112,-4.566040675604663,-2.2808570955492797
29,15112,-4.566040675604663,-2.2808570955492797
30,15112,-4.566040675604663,-2.2808570955492797
31,15112,-4.566040675604663,-2.2808570955492797
32,15112,-4.566040675604663,-2.2808570955492797
33,15112,-4.566040675604663,-2.2808570955492797
34,15112,-4.566040675604663,-2.2808570955492797
35,15112,-4.566040675604663,-2.2808570955492797
36,14917,-4.576096111314253,-2.270791679826361
37,14917,-4.576096111314253,-2.270791679826361
38,14917,-4.576096111314253,-2.270791679826361
39,14917,-4.576096111314253,-2.270791679826361
40,14917,-4.576096111314253,-2.270791679826361
41,14917,-4.576096111314253,-2.270791679826361
42,14917,-4.576096111314253,-2.270791679826361
43,14917,-4.576096111314253,-2.270791679826361
44,14917,-4.576096111314253,-2.270791679826361
45,14917,-4.576096111314253,-2.270791679826361
46,14917,-4.576096111314253,-2.270791679826361
47,14917,-4.576096111314253,-2.270791679826361
48,14917,-4.576096111314253,-2.270791679826361
49,14917,-4.576096111314253,-2.270791679826361
50,14917,-4.576096111314253,-2.270791679826361
51,14917,-4.576096111314253,-2.270791679826361
52,14917,-4.576096111314253,-2.270791679826361
53,14917,-4.576096111314253,-2.270791679826361
54,14917,-4.576096111314253,-2.270791679826361
55,14917,-4.576096111314253,-2.270791679826361
56,14917,-4.576096111314253,-2.270791679826361
57,14917,-4.576096111314253,-2.270791679826361
58,14917,-4.576096111314253,-2.270791679826361
59,14917,-4.576096111314253,-2.270791679826361
60,14917,-4.576096111314253,-2.270791679826361
61,14917,-4.576096111314253,-2.270791679826361
62,14917,-4.576096111314253,-2.270791679826361
63,14917,-4.576096111314253,-2.270791679826361
64,14917,-4.576096111314253,-2.270791679826361
65,14917,-4.576096111314253,-2.270791679826361
66,14917,-4.576096111314253,-2.270791679826361
67,14917,-4.576096111314253,-2.270791679826361
68,14917,-4.576096111314253,-2.270791679826361
69,14917,-4.576096111314253,-2.270791679826361
70,14917,-4.576096111314253,-2.270791679826361
71,14917,-4.576096111314253,-2.270791679826361
72,14917,-4.576096111314253,-2.270791679826361
73,14917,-4.576096111314253,-2.270791679826361
74,14917,-4.576096111314253,-2.270791679826361
75,14917,-4.576096111314253,-2.270791679826361
76,14917,-4.576096111314253,-2.270791679826361
77,14917,-4.576096111314253,-2.270791679826361
78,14917,-4.576096111314253,-2.270791679826361
79,14917,-4.576096111314253,-2.270791679826361
80,14917,-4.576096111314253,-2.270791679826361
81,14917,-4.576096111314253,-2.270791679826361
82,14917,-4.576096111314253,-2.270791679826361
83,14917,-4.576096111314253,-2.270791679826361
