iteration,best_cost,best_fitness,replacements,path_length
0,13352,7.48900987800403e-05,5,7
1,5679,0.00017605943766615611,8,7
2,4914,0.00020346293922562006,10,7
3,4455,0.00022442155344599296,11,7
4,4455,0.00022442155344599296,13,7
5,4455,0.00022442155344599296,13,7
6,4455,0.00022442155344599296,13,7
7,4455,0.00022442155344599296,14,7
8,4455,0.00022442155344599296,14,7
9,4455,0.00022442155344599296,14,7
10,4455,0.00022442155344599296,14,7
11,4455,0.00022442155344599296,14,7
12,4455,0.00022442155344599296,14,7
13,4455,0.00022442155344599296,15,7
14,4455,0.00022442155344599296,15,7
15,4455,0.00022442155344599296,15,7
16,4455,0.00022442155344599296,16,7
17,4455,0.00022442155344599296,16,7
18,4455,0.00022442155344599296,17,7
19,4455,0.00022442155344599296,17,7
20,4455,0.00022442155344599296,17,7
21,4455,0.00022442155344599296,17,7
22,4455,0.00022442155344599296,17,7
23,4455,0.00022442155344599296,17,7
24,4455,0.00022442155344599296,17,7
25,4455,0.00022442155344599296,17,7
26,4455,0.00022442155344599296,17,7
27,4455,0.00022442155344599296,17,7
28,4455,0.00022442155344599296,17,7
29,4455,0.00022442155344599296,17,7
30,4455,0.00022442155344599296,17,7
31,4455,0.00022442155344599296,17,7
32,4455,0.00022442155344599296,17,7
33,4455,0.00022442155344599296,18,7
34,4455,0.00022442155344599296,18,7
35,4455,0.00022442155344599296,18,7
36,4455,0.00022442155344599296,18,7
37,4455,0.00022442155344599296,18,7
38,4455,0.00022442155344599296,18,7
39,4455,0.00022442155344599296,18,7
40,4455,0.00022442155344599296,18,7
41,4455,0.00022442155344599296,18,7
42,4455,0.00022442155344599296,18,7
43,4455,0.00022442155344599296,18,7
44,4455,0.00022442155344599296,18,7
45,4455,0.00022442155344599296,18,7
46,4455,0.00022442155344599296,18,7
47,4455,0.00022442155344599296,18,7
48,4455,0.00022442155344599296,18,7
49,4455,0.00022442155344599296,18,7
